CPF rév. 2.1, 2015 - Niveau 6 - Liste des sous-catégories;
49.39.39;Transports terrestres de voyageurs n.c.a.
49.41.11;Transport routier de fret, par camions frigorifiques
49.41.12;Transport routier de fret, par camions-citernes ou semi-remorques, produits pétroliers
49.41.13;Transport routier de fret, par camions-citernes ou semi-remorques, autres vracs liquides ou gazeux
49.41.14;Transport routier de conteneurs intermodaux
49.41.15;Transport routier de vracs secs
49.41.16;Transport routier d'animaux vivants
49.41.17;Transport routier de fret par véhicules à traction humaine ou animale
49.41.18;Transport routier de lettres et colis
49.41.19;Autres transports routiers de fret
49.41.20;Location de camions avec conducteur
49.42.11;Services de déménagement pour particuliers
49.42.19;Autres services de déménagement
49.50.11;Transport par conduites de pétrole et produits pétroliers bruts et raffinés
49.50.12;Transport par conduites de gaz naturel
49.50.19;Transport par conduites d'autres produits
50.10.11;Transport maritime et côtier de passagers par transbordeurs
50.10.12;Transport maritime et côtier de passagers par paquebots
50.10.19;Autres transports maritimes et côtiers de passagers
50.10.20;Location de bateaux maritimes et côtiers pour passagers avec pilote
50.20.11;Transport maritime et côtier de produits surgelés ou réfrigérés par navires frigorifiques
50.20.12;Transport maritime et côtier de pétrole brut par navires-citernes
50.20.13;Transport maritime et côtier d'autres vracs liquides ou gazeux par navires-citernes
50.20.14;Transport maritime et côtier de conteneurs intermodaux par porte-conteneurs
50.20.15;Transport maritime et côtier de fret en vrac sec
50.20.19;Autres transports maritimes et côtiers de fret
50.20.21;Location de bateaux maritimes et côtiers pour fret avec pilote
50.20.22;Services de remorquage et poussage en mer
50.30.11;Transport fluvial de passagers par transbordeurs
50.30.12;Transport fluvial de passagers sous forme de croisières
50.30.13;Services d'excursions en bateau
50.30.19;Autres transports fluviaux de passagers
50.30.20;Location de bateaux fluviaux pour passagers avec pilote
50.40.11;Transport fluvial de produits surgelés ou réfrigérés par navires frigorifiques
50.40.12;Transport fluvial de pétrole brut par navires-citernes
50.40.13;Transport fluvial d'autres vracs liquides ou gazeux par navires-citernes
50.40.14;Transport fluvial de conteneurs intermodaux par porte-conteneurs
50.40.19;Autres transports fluviaux de fret
50.40.21;Location de bateaux fluviaux pour fret avec pilote
50.40.22;Services de poussage et remorquage fluvial
51.10.11;Transport aérien intérieur régulier de passagers
51.10.12;Transport aérien intérieur non régulier de passagers, sauf à des fins d'excursion
51.10.13;Transport aérien international régulier de passagers
51.10.14;Transport aérien international non régulier de passagers
51.10.15;Transport aérien non régulier de passagers à des fins d'excursion
51.10.20;Location d'appareils de transport aérien de passagers avec pilote
51.21.11;Transport aérien régulier de conteneurs intermodaux
51.21.12;Transport aérien de lettres et colis
51.21.13;Transport aérien régulier d'autre fret
51.21.14;Transport aérien non régulier d'autre fret
51.21.20;Location d'appareils de transport aérien de fret avec pilote
51.22.11;Transport spatial de passagers
51.22.12;Transport spatial de fret
52.10.11;Entreposage frigorifique
52.10.12;Entreposage en vrac de liquides et de gaz
52.10.13;Entreposage en silo
52.10.19;Autres services d'entreposage et de stockage
52.21.11;Services de poussage ou de remorquage ferroviaire
52.21.19;Autres services auxiliaires des transports ferroviaires
52.21.21;Services des gares routières de voyageurs
52.21.22;Services donnant lieu à des péages autoroutiers
52.21.23;Services donnant lieu à des péages relatifs à des ouvrages d'art
52.21.24;Services des parcs de stationnement
52.21.25;Services de remorquage de véhicules privés et commerciaux
52.21.29;Autres services auxiliaires des transports routiers
52.21.30;Services auxiliaires des transports par conduites
52.22.11;Services des installations portuaires maritimes et côtières (à l'exclusion de la manutention)
52.22.12;Services des installations portuaires fluviales (à l'exclusion de la manutention)
52.22.13;Services de pilotage et de remorquage portuaire en eaux maritimes et côtières
52.22.14;Services de pilotage et de remorquage portuaire en eaux fluviales
52.22.15;Services de sauvetage et de renflouement de navires en eaux maritimes et côtières
52.22.16;Services de sauvetage et de renflouement de navires en eaux fluviales
52.22.19;Autres services auxiliaires des transports par eau
52.23.11;Services des installations aéroportuaires, à l'exclusion de la manutention
52.23.12;Services de contrôle de l'espace aérien
52.23.19;Autres services auxiliaires des transports aériens
52.23.20;Services auxiliaires des transports spatiaux
52.24.11;Services de manutention de fret conteneurisé dans les ports
52.24.12;Autres services de manutention de fret conteneurisé
52.24.13;Services de manutention d'autre fret dans les ports
52.24.19;Services de manutention d'autre fret
52.29.11;Courtage maritime
52.29.12;Autres services de courtage de fret
52.29.19;Autres services d'organisation du transport de fret
52.29.20;Autres services auxiliaires des transports n.c.a.
53.10.11;Acheminement de journaux et revues dans le cadre d'une obligation de service universel
53.10.12;Acheminement de lettres dans le cadre d'une obligation de service universel
53.10.13;Acheminement de colis dans le cadre d'une obligation de service universel
53.10.14;Services de guichet postal
53.10.19;Autres services de poste dans le cadre d'une obligation de service universel
53.20.11;Acheminement multimodal de courrier
53.20.12;Services de livraison à domicile de produits alimentaires
53.20.19;Autres services de poste et de courrier n.c.a.
55.10.10;Hébergement hôtelier en chambre ou unité d'habitation, avec entretien quotidien (à l'exclusion des biens en multipropriété)
55.20.11;Hébergement en chambre ou unité d'habitation, en auberges de jeunesse ou chalets
55.20.12;Hébergement en chambre ou unité d'habitation, dans un immeuble en multipropriété
55.20.19;Autres services d'hébergement en chambre ou unité d'habitation, sans entretien quotidien
55.30.11;Services des terrains de camping
55.30.12;Services des parcs pour caravanes et véhicules de loisirs
55.90.11;Services d'hébergement en chambre ou unité d'habitation pour étudiants, en résidences universitaires ou internats
55.90.12;Services d'hébergement en chambre ou unité d'habitation pour travailleurs, en foyers ou camps de travailleurs
55.90.13;Services des voitures-lits et couchettes et services similaires dans d'autres moyens de transport
55.90.19;Autres services d'hébergement n.c.a.
56.10.11;Services complets de restauration à la table
56.10.12;Services des wagons-restaurants et services analogues sur les navires
56.10.13;Services de restauration en self-service
56.10.19;Autres services de restauration
56.21.11;Services de traiteurs pour particuliers
56.21.19;Autres services de traiteurs
56.29.11;Services de restauration collective sous contrat pour le compte d'entreprises de transport
56.29.19;Autres services de restauration collective sous contrat
56.29.20;Services de cantines et restaurants d'entreprise
56.30.10;Services de débits de boissons
58.11.11;Manuels éducatifs, imprimés
58.11.12;Livres professionnels, techniques et savants, imprimés
58.11.13;Livres d'enfants, imprimés
58.11.14;Dictionnaires et encyclopédies, imprimés
58.11.15;Atlas et autres livres contenant des cartes, imprimés
58.11.16;Cartes géographiques, marines ou autres, autres que sous forme de livres, imprimées
58.11.19;Autres livres, brochures, dépliants et articles similaires, imprimés
58.11.20;Livres sur disque, cassette ou autre support physique
58.11.30;Livres en ligne
58.11.41;Espaces publicitaires dans les livres imprimés
58.11.42;Espaces publicitaires dans les livres électroniques
58.11.50;Édition de livres pour compte de tiers
58.11.60;Services de licence pour livres
58.12.10;Répertoires et fichiers d'adresses imprimés ou sur support physique
58.12.20;Répertoires et fichiers d'adresses en ligne
58.12.30;Services de licence pour l'utilisation de répertoires et de fichiers d'adresses
58.12.40;Vente d'espaces publicitaires dans des répertoires et fichiers d'adresses
58.13.10;Journaux imprimés
58.13.20;Journaux en ligne
58.13.31;Espaces publicitaires dans les journaux imprimés
58.13.32;Espaces publicitaires dans les journaux électroniques
58.14.11;Revues et périodiques généralistes imprimés
58.14.12;Revues et journaux d'affaires, professionnels et universitaires imprimés
58.14.19;Autres revues et périodiques imprimés
58.14.20;Revues et périodiques en ligne
58.14.31;Espaces publicitaires dans les revues et périodiques imprimés
58.14.32;Espaces publicitaires dans les revues et périodiques électroniques
58.14.40;Services de licence pour les revues et périodiques
58.19.11;Cartes postales, cartes de vœux et similaires, imprimées
58.19.12;Photos, illustrations, gravures, imprimées
58.19.13;Transferts (décalcomanies) et calendriers, imprimés
58.19.14;"Timbres-poste et timbres fiscaux ou similaires neufs, imprimés ; papier timbré ; chéquiers ; billets de banque, certificats d'actions ou d'obligations et titres similaires"
58.19.15;Matériel publicitaire, catalogues commerciaux et similaires, imprimés
58.19.19;Autres imprimés
58.19.21;Contenus en ligne pour adultes
58.19.29;Autres contenus en ligne n.c.a.
58.19.30;Services de licence pour les autres imprimés
58.21.10;Jeux électroniques, sur support physique
58.21.20;Jeux électroniques, en téléchargement
58.21.30;Jeux en ligne
58.21.40;Services de licence pour l'utilisation de jeux électroniques
58.29.11;Systèmes d'exploitation, sur support physique
58.29.12;Logiciels réseau, sur support physique
58.29.13;Logiciels de gestion de base de données, sur support physique
58.29.14;Logiciels d'outils de développement et de langages de programmation, sur support physique
58.29.21;Applications commerciales et domestiques générales, sur support physique
58.29.29;Autres logiciels d'application, sur support physique
58.29.31;Logiciels système, en téléchargement
58.29.32;Logiciels d'application, en téléchargement
58.29.40;Logiciels en ligne
58.29.50;Services de licence pour l'utilisation de logiciels informatiques
59.11.11;Production de films cinématographiques
59.11.12;Production de films et vidéos promotionnels ou publicitaires
59.11.13;Production d'autres programmes de télévision
59.11.21;Originaux de films cinématographiques, vidéos et programmes de télévision
59.11.22;Films cinématographiques
59.11.23;Films et autres contenus vidéo sur disque, cassette ou autre support physique
59.11.24;Films et autres contenus vidéo en téléchargement
59.11.25;Contenu vidéo en flux continu (streaming)
59.11.30;Vente d'espaces publicitaires ou de temps d'antenne dans les produits cinématographiques, vidéos et émissions de télévision
59.12.11;Services d'édition audiovisuelle
59.12.12;Services de transfert et de duplication de bandes mères
59.12.13;Services de correction de couleurs et de restauration numérique
59.12.14;Services d'effets visuels
59.12.15;Services d'animation
59.12.16;Services de sous-titrage
59.12.17;Services d'édition et de conception sonore
59.12.19;Autres services de post-production de films cinématographiques, de vidéos et de programmes de télévision
59.13.11;Services de licence pour les droits des films et leurs recettes
59.13.12;Autres services de distribution de films cinématographiques, de vidéos et de programmes de télévision
59.14.10;Projection de films cinématographiques
59.20.11;Services d'enregistrement sonore
59.20.12;Services d'enregistrement en direct
59.20.13;Originaux d'enregistrement sonore
59.20.21;Production de programmes radio
59.20.22;Originaux de programmes radio
59.20.31;Partitions musicales imprimées
59.20.32;Partitions musicales électroniques
59.20.33;Enregistrements audio musicaux sur disque, cassette ou autre support physique
59.20.34;Autres disques et cassettes audio
59.20.35;Musique en téléchargement
59.20.36;Contenu audio en flux continu (streaming)
59.20.40;Services de licence pour l'utilisation d'originaux acoustiques
60.10.11;Programmation d'émissions de radio et radiodiffusion
60.10.12;Originaux de radiodiffusion
60.10.20;Programmes de stations de radio
60.10.30;Temps d'antenne publicitaire à la radio
60.20.11;Programmation et diffusion d'émissions de télévision linéaire
60.20.12;Services en ligne de vidéo à la demande
60.20.13;Autres services de vidéo à la demande
60.20.20;Originaux d'émissions de télévision
60.20.30;Temps d'antenne publicitaire à la télévision
61.10.11;Services de téléphonie fixe - accès et utilisation
61.10.12;Services de téléphonie fixe - caractéristiques d'appel
61.10.13;Services de réseaux privés pour les systèmes de télécommunications filaires
61.10.20;Services de portage pour télécommunications filaires
61.10.30;Services de transmission de données via des réseaux de télécommunications filaires
61.10.41;Services de dorsales pour l'internet
61.10.42;Services d'accès à l'internet à bande étroite par des réseaux filaires
61.10.43;Services d'accès à l'internet à large bande par des réseaux filaires
61.10.49;Autres services de télécommunications par l'internet filaire
61.10.51;Services de distribution de programmes à domicile par une infrastructure filaire, bouquet de programmes de base
61.10.52;Services de distribution de programmes à domicile par une infrastructure filaire, bouquet de programmes au choix
61.10.53;Services de distribution de programmes à domicile par une infrastructure filaire, paiement à la séance
61.20.11;Services de réseaux privés pour les systèmes de télécommunications sans fil
61.20.12;Services de téléphonie vocale mobile
61.20.13;Services de messagerie mobile
61.20.14;Services de transmission de données mobile, à l'exception des services de messagerie
61.20.20;Services de portage pour télécommunications sans fil
61.20.30;Services de transmission de données via des réseaux de télécommunications sans fil
61.20.41;Services d'accès à l'internet à bande étroite par des réseaux sans fil
61.20.42;Services d'accès à l'internet à large bande par des réseaux sans fil
61.20.49;Autres services de télécommunications par l'internet sans fil
61.20.50;Services de distribution de programmes à domicile par des réseaux sans fil
61.30.10;Services de télécommunications par satellite, à l'exclusion des services de distribution de programmes à domicile par satellite
61.30.20;Services de distribution de programmes à domicile par satellite
61.90.10;Autres services de télécommunications
62.01.11;Services de conception et développement informatique pour applications
62.01.12;Services de conception et développement informatique pour réseaux et systèmes
62.01.21;Originaux de jeux électroniques
62.01.29;Autres originaux de logiciels
62.02.10;Services de conseil en configurations informatiques
62.02.20;Services de conseils en systèmes et logiciels informatiques
62.02.30;Services d'assistance technique informatique
62.03.11;Services de gestion de réseaux
62.03.12;Services de gestion de systèmes informatiques
62.09.10;Installation d'ordinateurs et d'équipements périphériques
62.09.20;Autres services informatiques n.c.a.
63.11.11;Traitement de données
63.11.12;Hébergement de sites internet
63.11.13;Fourniture de services applicatifs
63.11.19;Fourniture d'autres infrastructures d'hébergement et informatiques
63.11.20;Espaces publicitaires sur internet
63.12.10;Contenu de portails internet
63.12.20;Espaces publicitaires sur des portails internet
63.91.11;Services des agences de presse à l'intention des journaux et périodiques
63.91.12;Services des agences de presse à l'intention des médias audiovisuels
63.99.10;Services d'information n.c.a.
63.99.20;Compilations originales de faits/informations
64.11.10;Services de banque centrale
64.19.11;Services de dépôts offerts aux sociétés et déposants institutionnels
64.19.12;Services de dépôts offerts aux autres déposants
64.19.21;Services de crédits interindustriels des institutions monétaires
64.19.22;Services de crédits à la consommation des institutions monétaires
64.19.23;Services de crédits hypothécaires résidentiels des institutions monétaires
64.19.24;Services de crédits hypothécaires non résidentiels des institutions monétaires
64.19.25;Services de crédits commerciaux non hypothécaires des institutions monétaires
64.19.26;Services de cartes de crédit des institutions monétaires
64.19.29;Autres services de crédits des institutions monétaires
64.19.30;Autres services d'intermédiation monétaire n.c.a.
64.20.10;Services des sociétés holding
64.30.10;Services des fonds de placement et entités financières similaires
64.91.10;Services de crédit-bail
64.92.11;Services de crédits interindustriels, autres que ceux des institutions monétaires
64.92.12;Services de crédits à la consommation, autres que ceux des institutions monétaires
64.92.13;Services de crédits hypothécaires résidentiels, autres que ceux des institutions monétaires
64.92.14;Services de crédits hypothécaires non résidentiels, autres que ceux des institutions monétaires
64.92.15;Services de crédits commerciaux non hypothécaires, autres que ceux des institutions monétaires
64.92.16;Services de cartes de crédit, autres que ceux des institutions monétaires
64.92.19;Autres services de crédits, autres que ceux des institutions monétaires, n.c.a.
64.99.11;Services bancaires de placement
64.99.19;Services financiers, hors assurances et caisses de retraite, n.c.a.
65.11.10;Assurance vie
65.12.11;Assurance accidents
65.12.12;Assurance maladie
65.12.21;Assurance de véhicules automobiles, responsabilité civile
65.12.29;Autres services d'assurance de véhicules automobiles
65.12.31;Assurance du matériel ferroviaire roulant
65.12.32;Assurance responsabilité civile du transporteur aérien
65.12.33;Autres services d'assurance liés aux avions
65.12.34;Assurance responsabilité civile du transporteur par bateaux
65.12.35;Autres services d'assurance liés aux bateaux
65.12.36;Assurance du fret
65.12.41;Assurance incendie
65.12.49;Autres services d'assurance dommages
65.12.50;Assurance responsabilité civile générale
65.12.61;Assurance crédit
65.12.62;Assurance caution
65.12.71;Assurance voyages et assistance
65.12.72;Assurance protection juridique
65.12.73;Assurance contre les pertes financières diverses
65.12.90;Autres services d'assurances non-vie
65.20.11;Réassurance vie
65.20.12;Réassurance accidents
65.20.13;Réassurance maladie
65.20.21;Réassurance automobile, responsabilité civile
65.20.22;Autres services de réassurance automobile
65.20.23;Réassurance maritime, aérienne et autres transports
65.20.24;Réassurance fret
65.20.25;Réassurance incendie et autres dommages
65.20.31;Réassurance responsabilité civile générale
65.20.32;Réassurance crédit et caution
65.20.41;Réassurance protection juridique
65.20.42;Réassurance pertes financières diverses
65.20.50;Réassurance en matière de financement des retraites
65.20.60;Autres services de réassurances non-vie
65.30.11;Caisses de retraite à adhésion individuelle
65.30.12;Caisses de retraite à adhésion collective
66.11.11;Services opérationnels des marchés financiers
66.11.12;Services réglementaires des marchés financiers
66.11.19;Autres services liés à l'administration de marchés financiers
66.12.11;Services de courtage de valeurs mobilières
66.12.12;Services de courtage de marchandises
66.12.13;Services de change de devises
66.19.10;Services de traitement et compensation des opérations sur valeurs immobilières
66.19.21;Services de fusions et acquisitions
66.19.22;Services de financement des entreprises et de capital-risque
66.19.29;Autres services auxiliaires liés aux banques d'investissement
66.19.31;Services de fiducie
66.19.32;Services de garde
66.19.91;Services de conseil financier
66.19.92;Services de traitement et compensation de transactions financières
66.19.99;Autres services auxiliaires aux services financiers n.c.a., à l'exclusion des assurances et des caisses de retraite
66.21.10;Services d'évaluation des risques et dommages
66.22.10;Services des agents et courtiers d'assurances
66.29.11;Services actuariels
66.29.19;Autres services auxiliaires des assurances et caisses de retraite n.c.a.
66.30.11;Services de gestion de portefeuilles, à l'exclusion des fonds de pension
66.30.12;Services de gestion des fonds de pension
68.10.11;Transactions sur bâtiments résidentiels et terrains associés
68.10.12;Transactions sur biens immobiliers en multipropriété
68.10.13;Transactions sur terrains à bâtir
68.10.14;Transactions sur constructions non résidentielles et terrains associés
68.10.15;Transactions sur terrains non constructibles
68.20.11;Services de location et exploitation de biens immobiliers résidentiels propres ou loués
68.20.12;Services de location et exploitation de biens immobiliers non résidentiels propres ou loués
68.31.11;Transactions sur bâtiments résidentiels et terrains associés pour compte de tiers, à l'exclusion des biens immobiliers en multipropriété
68.31.12;Transactions sur biens immobiliers en multipropriété pour compte de tiers
68.31.13;Transactions sur terrains à bâtir pour compte de tiers
68.31.14;Transactions sur constructions non résidentielles et terrains associés pour compte de tiers
68.31.15;Transactions sur terrains non constructibles pour compte de tiers
68.31.16;Services d'expertise immobilière pour compte de tiers
68.32.11;Services d'administration de biens immobiliers résidentiels pour compte de tiers, à l'exclusion des biens immobiliers en multipropriété
68.32.12;Services d'administration de biens immobiliers en multipropriété pour compte de tiers
68.32.13;Services d'administration de biens immobiliers non résidentiels pour compte de tiers
69.10.11;Services de conseil et représentation juridique, en droit pénal
69.10.12;Services de conseil et représentation juridique, en droit des affaires et droit commercial
69.10.13;Services de conseil et représentation juridique, en droit du travail
69.10.14;Services de conseil et représentation juridique, en droit civil
69.10.15;Services juridiques en matière de brevets, droits d'auteurs et autres droits de propriété intellectuelle
69.10.16;Services notariaux
69.10.17;Services d'arbitrage et de conciliation
69.10.18;Services juridiques en matière de ventes aux enchères publiques
69.10.19;Autres services juridiques
69.20.10;Services d'audit financier
69.20.21;Services de vérification comptable
69.20.22;Services d'établissement d'états financiers
69.20.23;Services de tenue de livres de comptes
69.20.24;Services de livres de paie
69.20.29;Autres services comptables
69.20.31;Services de conseil fiscal aux entreprises
69.20.32;Services de planification fiscale aux particuliers
69.20.40;Services d'insolvabilité et de mise sous séquestre
70.10.10;Services des sièges sociaux
70.21.10;Services de relations publiques et communication
70.22.11;Services de conseil en gestion stratégique
70.22.12;Services de conseil en gestion financière (à l'exclusion de la fiscalité)
70.22.13;Services de conseil en gestion commerciale
70.22.14;Services de conseil en gestion des ressources humaines
70.22.15;Services de conseil en gestion de la production
70.22.16;Services de conseil en gestion de la chaîne d'approvisionnement et autres
70.22.17;Services de conseil en gestion des processus de travail
70.22.20;Autres services de gestion de projets, à l'exclusion des projets de construction
70.22.30;Autres services de conseil aux entreprises
71.11.10;Plans et dessins architecturaux
71.11.21;Services d'architecture pour projets de constructions résidentielles
71.11.22;Services d'architecture pour projets de constructions non résidentielles
71.11.23;Services d'architecture de rénovation de bâtiments historiques
71.11.24;Services de conseil en architecture pour projets de construction
71.11.31;Services d'aménagement urbain
71.11.32;Services d'aménagement rural
71.11.33;Services des plans directeurs de chantiers
71.11.41;Services d'architecture paysagère
71.11.42;Services de conseil en architecture paysagère
71.12.11;Services de conseil en ingénierie
71.12.12;Services d'ingénierie pour projets de constructions
71.12.13;Services d'ingénierie pour projets énergétiques
71.12.14;Services d'ingénierie pour projets d'infrastructures de transport
71.12.15;Services d'ingénierie pour projets de gestion des déchets (dangereux ou non)
71.12.16;Services d'ingénierie pour projets d'alimentation en eau, d'assainissement et de drainage
71.12.17;Services d'ingénierie pour projets industriels et manufacturiers
71.12.18;Services d'ingénierie pour projets de télécommunications et de radiodiffusion et télédiffusion
71.12.19;Services d'ingénierie pour autres projets
71.12.20;Services de gestion de projet pour projets de constructions
71.12.31;Services de conseil géologique et géophysique
71.12.32;Services géophysiques
71.12.33;Services d'exploration et d'évaluation minérales
71.12.34;Services de prospection de surface
71.12.35;Services d'établissement de cartes
71.20.11;Contrôle et analyses de composition et de pureté
71.20.12;Contrôle et analyses de propriétés physiques
71.20.13;Contrôle et analyses de systèmes mécaniques et électriques intégrés
71.20.14;Services d'inspection technique des véhicules de transport routier
71.20.19;Autres contrôles et analyses techniques
72.00.11;Recherche fondamentale interdisciplinaire
72.00.12;Recherche appliquée interdisciplinaire
72.00.13;Développement expérimental interdisciplinaire
72.00.20;Projets originaux de recherche et développement interdisciplinaires
72.11.11;Recherche fondamentale en biotechnologie de la santé
72.11.12;Recherche appliquée en biotechnologie de la santé
72.11.13;Développement expérimental en biotechnologie de la santé
72.11.21;Recherche fondamentale en biotechnologies environnementale et industrielle
72.11.22;Recherche appliquée en biotechnologies environnementale et industrielle
72.11.23;Développement expérimental en biotechnologies environnementale et industrielle
72.11.31;Recherche fondamentale en biotechnologie agricole
72.11.32;Recherche appliquée en biotechnologie agricole
72.11.33;Développement expérimental en biotechnologie agricole
72.11.40;Projets originaux de recherche et développement en biotechnologie
72.19.11;Recherche fondamentale en physique
72.19.12;Recherche appliquée en physique
72.19.13;Développement expérimental en physique
72.19.21;Recherche fondamentale en chimie et biologie
72.19.22;Recherche appliquée en chimie et biologie
72.19.23;Développement expérimental en chimie et biologie
72.19.31;Recherche fondamentale en ingénierie et technologie, à l'exclusion des biotechnologies
72.19.32;Recherche appliquée en ingénierie et technologie, à l'exclusion des biotechnologies
72.19.33;Développement expérimental en ingénierie et technologie, à l'exclusion des biotechnologies
72.19.41;Recherche fondamentale en médecine et pharmacie
72.19.42;Recherche appliquée en médecine et pharmacie
72.19.43;Développement expérimental en médecine et pharmacie
72.19.51;Recherche fondamentale en agronomie
72.19.52;Recherche appliquée en agronomie
72.19.53;Développement expérimental en agronomie
72.19.61;Recherche fondamentale en autres sciences naturelles
72.19.62;Recherche appliquée en autres sciences naturelles
72.19.63;Développement expérimental en autres sciences naturelles
72.19.70;Projets originaux de recherche et développement en autres sciences naturelles et ingénierie
72.20.11;Recherche fondamentale en psychologie
72.20.12;Recherche appliquée en psychologie
72.20.13;Développement expérimental en psychologie
72.20.21;Recherche fondamentale en droit
72.20.22;Recherche appliquée en droit
72.20.23;Développement expérimental en droit
72.20.31;Recherche fondamentale en langues et littérature
72.20.32;Recherche appliquée en langues et littérature
72.20.33;Développement expérimental en langues et littérature
72.20.41;Recherche fondamentale en autres sciences sociales et humaines
72.20.42;Recherche appliquée en autres sciences sociales et humaines
72.20.43;Développement expérimental en autres sciences sociales et humaines
72.20.51;Recherche fondamentale en économie
72.20.52;Recherche appliquée en économie
72.20.53;Développement expérimental en économie
72.20.60;Projets originaux de recherche et développement en sciences sociales et humaines
73.11.11;Conception et réalisation de services publicitaires
73.11.12;Marketing et mailing directs
73.11.13;Développement de concepts publicitaires
73.11.19;Autres services publicitaires
73.12.11;Vente d'espaces publicitaires pour compte de tiers dans les médias imprimés
73.12.12;Vente d'espaces publicitaires pour compte de tiers à la télévision et à la radio
73.12.13;Vente d'espaces publicitaires pour compte de tiers sur l'internet
73.12.14;Vente de publicité liée à un événement
73.12.19;Autres ventes d'espaces publicitaires pour compte de tiers
73.12.20;Revente d'espaces publicitaires pour compte de tiers
73.20.11;Études de marché : enquêtes qualitatives
73.20.12;Études de marché : enquêtes quantitatives ad hoc
73.20.13;Études de marché : enquêtes quantitatives continues et régulières
73.20.14;Études de marché, à l'exclusion des enquêtes
73.20.19;Autres services d'études de marché
73.20.20;Services de sondages d'opinion
74.10.11;Services de design de décoration d'intérieur
74.10.12;Services de design de produits industriels
74.10.19;Autres services de design spécialisés
74.10.20;Designs originaux
74.20.11;Plaques et films photographiques, exposés, mais non développés
74.20.12;Plaques et films photographiques, exposés et développés, pour reproduction offset
74.20.19;Autres plaques et films photographiques exposés et développés
74.20.21;Services des studios photographiques
74.20.22;Services photographiques publicitaires et connexes
74.20.23;Services de photographie et de vidéo pour cérémonies
74.20.24;Services de photographie aérienne
74.20.29;Autres services de photographie spécialisés
74.20.31;Services de développement et de tirage photographique
74.20.32;Services de restauration et retouche de photographies
74.20.39;Autres services photographiques n.c.a.
74.30.11;Services de traduction
74.30.12;Services d'interprétation
74.90.11;Services de vérification de factures et d'information sur les tarifs de transport
74.90.12;Services de courtage et d'expertise autres que pour l'immobilier et les assurances
74.90.13;Services de conseil en environnement
74.90.14;Services de prévisions météorologiques
74.90.15;Services de conseil en sécurité
74.90.19;Autres services scientifiques et techniques de conseil n.c.a.
74.90.20;Autres services spécialisés, techniques et commerciaux n.c.a.
75.00.11;Services vétérinaires pour animaux de compagnie
75.00.12;Services vétérinaires pour animaux d'élevage
75.00.19;Autres services vétérinaires
77.11.10;Location et location-bail de voitures et véhicules automobiles légers
77.12.11;Location et location-bail de véhicules pour transport de marchandises, sans chauffeur
77.12.19;Location et location-bail d'autres matériels de transport terrestre, sans chauffeur
77.21.10;Location et location-bail d'articles de loisirs et de sport
77.22.10;Location de vidéocassettes et dvd
77.29.11;Location et location-bail de téléviseurs, radios, magnétoscopes et matériels audiovisuels
77.29.12;Location et location-bail de mobilier et autres équipements domestiques
77.29.13;Location et location-bail d'instruments de musique
77.29.14;Location et location-bail de linge de maison
77.29.15;Location et location-bail de textiles, vêtements et chaussures
77.29.16;Location et location-bail de machines et équipements de bricolage
77.29.19;Location et location-bail d'autres biens personnels et domestiques n.c.a.
77.31.10;Location et location-bail de matériel agricole
77.32.10;Location et location-bail de machines et équipements pour la construction et le génie civil
77.33.11;Location et location-bail de machines de bureau (à l'exclusion de matériel informatique)
77.33.12;Location et location-bail de matériel informatique
77.34.10;Location et location-bail de matériels de transport par eau
77.35.10;Location et location-bail de matériels de transport aérien
77.39.11;Location et location-bail de matériel ferroviaire roulant
77.39.12;Location et location-bail de conteneurs
77.39.13;Location et location-bail de motocycles, caravanes et autocaravanes
77.39.14;Location et location-bail d'équipements de télécommunications
77.39.19;Location et location-bail d'autres machines, équipements et biens n.c.a., sans opérateur
77.40.11;Services de licence pour l'utilisation de produits de la recherche et développement
77.40.12;Services de licence pour l'utilisation de marques déposées et franchises
77.40.13;Services de licence pour l'utilisation de services d'exploration et d'évaluation minérales
77.40.14;Marques déposées et franchises
77.40.19;Services de licence pour l'utilisation d'autres produits de la propriété intellectuelle et similaires, à l'exclusion des œuvres protégées par des droits d'auteur
78.10.11;Services de recrutement de cadres
78.10.12;Services de placement permanent, à l'exclusion du recrutement de cadres
78.20.11;Services des agences de travail temporaire pour la mise à disposition de personnel dans le domaine de l'informatique et des télécommunications
78.20.12;Services des agences de travail temporaire pour la mise à disposition d'autres personnels de bureau
78.20.13;Services des agences de travail temporaire pour la mise à disposition de personnel dans le domaine du commerce et des échanges
78.20.14;Services des agences de travail temporaire pour la mise à disposition de personnel dans le domaine du transport, de l'entreposage, de la logistique et de l'industrie
78.20.15;Services des agences de travail temporaire pour la mise à disposition de personnel dans le domaine de l'hôtellerie et de la restauration
78.20.16;Services des agences de travail temporaire pour la mise à disposition de personnel médical
78.20.19;Services des agences de travail temporaire pour la mise à disposition d'autres personnels
78.30.11;Autres services de mise à disposition de personnel dans le domaine de l'informatique et des télécommunications
78.30.12;Autres services de mise à disposition d'autres personnels de bureau
78.30.13;Autres services de mise à disposition de personnel dans le domaine du commerce et des échanges
78.30.14;Autres services de mise à disposition de ressources humaines dans le domaine du transport, de l'entreposage, de la logistique et des industries
78.30.15;Autres services de mise à disposition de personnel dans le domaine de l'hôtellerie et de la restauration
78.30.16;Autres services de mise à disposition de personnel médical
78.30.19;Autres services de mise à disposition de personnel n.c.a.
79.11.11;Services de réservation pour les transports aériens
